station_id,phase_index,phase_time,phase_score,phase_type,dt_s,phase_amplitude,event_index,gamma_score
HOPB,7480438.0,2024-04-03T20:46:44.383000,0.763,P,0.01,2033.0,2435,0.0004900670073593951
EGFH,7480492.0,2024-04-03T20:46:44.920000,0.788,P,0.01,592.0,2435,0.0018905498494022552
SM39,7480484.0,2024-04-03T20:46:45.290000,0.387,S,0.01,1967.0,2435,0.0016499449630133609
SM02,7480366.0,2024-04-03T20:46:45.300000,0.432,S,0.01,693.5,2435,0.0024263241871083224
SM09,7480487.0,2024-04-03T20:46:45.360000,0.673,S,0.01,1459.0,2435,0.00101381333530903
HOPB,7482565.0,2024-04-03T20:47:05.653000,0.72,S,0.01,159200.0,2436,0.00033169985718866263
E077,7482594.0,2024-04-03T20:47:07.460000,0.97,P,0.01,764.0,-1,-1.0
E077,7482708.0,2024-04-03T20:47:07.480000,0.877,P,0.01,997.8,-1,-1.0
CHK,7482730.0,2024-04-03T20:47:07.510000,0.382,S,0.01,142.9,2435,0.0075889175749632425
NDS,7482766.0,2024-04-03T20:47:07.660000,0.931,P,0.01,3323.0,2436,0.00101381333530903
EWT,7043623.0,2024-04-03T20:47:08.230000,0.757,S,0.01,15450.0,2436,0.0010532240953947873
SM39,7482780.0,2024-04-03T20:47:08.250000,0.787,S,0.01,2759.0,2436,0.0008339283211409497
ESL,7482651.0,2024-04-03T20:47:08.370000,0.707,P,0.01,218.3,-1,-1.0
ESL,7482817.0,2024-04-03T20:47:08.440000,0.363,P,0.01,284.0,-1,-1.0
FUSS,7482848.0,2024-04-03T20:47:08.480000,0.902,P,0.01,1866.0,2436,0.0004317531965044322
E023,7482720.0,2024-04-03T20:47:08.900000,0.602,P,0.01,271.7,-1,-1.0
E023,7482740.0,2024-04-03T20:47:08.970000,0.593,P,0.01,391.0,2436,0.007524756304073585
B215,7482878.0,2024-04-03T20:47:10.570000,0.77,P,0.01,207.4,2436,0.0013667106256371742
B215,7482916.0,2024-04-03T20:47:10.770000,0.525,P,0.01,408.0,-1,-1.0
B215,7482961.0,2024-04-03T20:47:10.930000,0.376,P,0.01,676.7,-1,-1.0
